115|237|115|237|
160|174|160|174|
161|174|161|174|
149|177|149|177|
154|192|154|192|
154|210|154|210|
151|215|151|215|
138|218|138|218|
132|212|132|212|
130|193|130|193|
130|190|130|190|
148|199|148|199|
136|193|136|193|
139|208|139|208|
136|219|136|219|
126|221|126|221|
112|214|112|214|
108|204|108|204|
115|200|115|200|
463|76|463|76|
464|92|464|92|
466|100|466|100|
474|123|474|123|
485|142|485|142|
490|149|490|149|
489|141|489|141|
486|136|486|136|
482|120|482|120|
480|105|480|105|
480|97|480|97|
483|82|483|82|
502|91|502|91|
529|124|529|124|
528|140|528|140|
520|149|520|149|
513|143|513|143|
509|125|509|125|
509|114|509|114|
505|106|505|106|
494|102|494|102|
504|126|504|126|
507|146|507|146|
513|167|513|167|
519|179|519|179|
526|178|526|178|
544|159|544|159|
530|143|530|143|
524|133|524|133|
512|126|512|126|
